"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"
291	117	177	1	22	88	22	259	198	347	749	427	646	73	25	67	1444	130	54	127	186	224	170	303	0	318	275	255	132	143	163
73	123	371	130	79	11	393	0	28	508	10	47	3	454	27	242	338	26	98	339	48	4	124	194	81	141	311	109	123	399	11
171	1278	820	156	22	70	325	68	111	96	1729	42	17	601	542	74	1585	36	234	16	829	263	16	3	165	511	2499	73	120	188	797
5	13	685	723	90	48	4	74	3	44	41	1	48	5	261	289	265	149	39	2	121	123	71	12	33	452	195	178	56	495	62
22	70	128	5	5	2	14	8	28	2	54	8	29	22	6	8	14	0	55	21	14	97	52	3	8	73	9	108	36	87	8
746	4124	1675	951	2821	1286	804	527	870	42	1601	587	1027	22	17	102	3346	180	1215	158	880	159	590	1425	99	1203	2698	1082	179	1118	293
0	4	3	0	23	0	0	13	2	9	1	3	8	16	3	75	13	2	17	1	7	17	6	2	26	4	39	0	3	8	0
39	250	8	608	12	22	252	163	343	873	1540	271	71	0	88	92	131	112	104	387	151	489	161	118	244	436	159	110	610	518	46
116	429	116	23	15	14	49	66	31	148	14	12	15	67	16	99	43	30	54	0	77	8	4	25	59	22	263	113	41	111	37
6	278	25	22	37	0	9	50	9	15	2	3	92	0	40	1	143	5	1	2	8	21	24	14	52	16	113	11	15	30	6
37	15	15	18	1	5	6	16	4	12	27	2	0	61	2	21	6	3	2	0	2	5	0	6	5	4	18	0	0	19	2
902	4763	975	2751	1984	144	2359	3106	34	915	3251	5178	3795	574	595	238	2985	10679	555	1791	404	1346	1776	371	1508	10068	2009	79	513	2656	17
5997	35734	9909	6051	8691	382	5317	4138	120	2959	221	5117	4249	13167	7993	12608	2356	710	3425	6291	10165	24804	76	1246	6729	1151	6480	1532	431	7905	3968
14	368	330	49	260	694	84	110	166	540	241	38	465	568	386	125	2955	191	279	418	99	394	73	352	70	62	207	27	3	617	16
43	212	87	765	99	6	490	92	49	376	189	224	170	322	14	108	152	75	23	46	14	10	228	86	6	239	122	107	231	78	132
180	339	284	698	116	61	27	1141	148	553	1592	126	171	1896	1215	1841	1645	801	2484	423	1932	1054	781	127	741	1557	483	487	255	559	553
130	495	959	2750	4326	269	1561	214	2014	259	2623	1512	2773	1164	922	3670	3519	448	1574	1168	410	411	281	18	682	249	3498	924	2215	1493	667
134	211	22	354	365	9	27	534	149	147	444	143	91	111	414	103	2127	373	392	74	225	188	238	237	254	256	435	90	310	1218	93
11	73	78	40	19	12	4	24	34	29	48	21	14	32	119	15	58	2	11	10	134	36	7	5	47	176	22	0	10	14	6
2931	1056	1541	1991	50	215	994	463	192	1741	77	380	83	922	154	2306	4213	577	1161	18	184	330	804	2650	23	3365	4573	333	891	3499	326
44	160	414	408	171	100	238	186	162	548	655	310	421	193	61	43	87	264	75	350	132	0	397	132	516	578	531	159	118	905	94
36	717	29	3	162	146	149	228	16	158	651	69	126	55	47	1044	2833	234	258	455	14	159	194	94	307	404	289	7	34	334	45
116	3780	626	1360	248	1169	1849	2879	53	229	2508	2643	190	44	357	245	4212	1495	249	1194	826	220	1208	390	1389	470	662	998	252	183	3003
105	761	115	465	403	331	331	160	368	876	567	171	587	149	160	48	1209	80	12	109	134	360	131	16	337	89	2085	1144	37	397	153
24	665	5334	402	863	294	1551	189	34	340	874	75	196	649	20	1579	1756	46	272	47	186	158	47	206	426	433	39	33	2	4	1725
7	5	29	7	27	0	10	48	1	68	33	14	0	39	11	4	3	45	14	22	3	20	9	31	36	44	13	2	59	175	7
92	582	893	997	526	106	384	150	204	393	507	312	1777	591	889	597	1681	1143	562	778	224	192	29	1436	1054	87	838	27	28	1740	855
6	3442	299	167	56	24	419	1182	93	364	218	117	985	96	184	926	409	63	110	785	228	242	116	272	597	3204	2065	359	89	17	636
1	106	118	585	127	17	82	2	20	11	28	29	240	10	5	36	18	2	8	64	35	38	4	27	28	255	51	12	116	156	4
43	71	267	150	24	217	325	72	22	207	39	117	314	10	100	34	75	68	62	28	3	116	32	15	21	51	538	112	25	379	104
179	0	1765	17	611	491	2349	117	289	44	649	1230	602	815	18	750	508	988	57	247	275	210	558	426	284	619	182	200	23	374	958
38	1598	1216	1830	1297	277	103	764	227	4778	122	300	2283	230	469	115	1590	109	1769	405	2036	636	1358	380	391	835	2396	147	2910	1146	1108
29	7	38	55	63	6	113	11	31	7	35	11	53	35	18	80	75	63	23	52	10	23	31	10	14	26	0	11	20	42	26
280	129	1348	314	67	243	189	8	32	32	69	27	42	694	3	136	358	200	230	220	132	25	139	16	195	668	227	140	65	180	178
128	72	117	677	250	40	242	32	161	540	902	320	301	146	676	127	100	107	224	458	73	198	61	996	365	70	146	169	325	771	325
129	1	84	57	43	12	52	211	24	496	423	42	25	136	164	110	112	118	194	92	122	46	5	23	40	340	646	50	42	99	4
191	1212	2255	157	3335	724	49	245	667	1351	111	110	1756	25	1528	3021	171	2801	719	415	388	652	1	951	52	701	2098	165	53	1744	456
636	3645	1441	6198	4217	2177	1350	799	227	278	4107	1340	2170	835	639	1314	5335	1128	561	190	73	193	392	465	5634	1625	488	3450	157	316	77
188	2926	1150	1147	1707	374	936	370	38	395	2246	595	185	1701	133	1271	323	1476	144	1898	1270	639	468	98	1102	417	2118	147	460	1434	411
130	581	142	990	2809	325	925	1629	296	136	4346	2106	1077	774	478	584	1617	1024	491	276	108	832	495	52	858	771	1159	1410	506	1180	71
921	3957	1508	686	2679	1142	3445	63	3404	281	1507	151	505	8445	188	5539	5460	300	3687	122	80	1348	656	524	2213	2456	6666	1613	954	1542	1259
4	14	21	45	32	4	31	16	7	43	66	39	24	9	39	23	20	23	0	16	3	45	29	1	41	2	10	4	11	11	28
320	217	1785	817	488	308	1019	670	1092	388	3186	2751	537	1508	1766	2763	2142	936	1812	380	1279	3339	567	605	788	1978	4566	276	161	203	334
525	274	3265	1152	2760	1082	2027	3164	748	5187	961	2806	629	1341	615	957	961	1411	2928	148	241	1451	241	3516	1116	6339	2933	2010	229	2818	364
110	1402	220	75	318	90	469	32	38	120	636	5	173	1727	271	273	87	210	5	112	102	51	31	507	200	11	491	33	120	738	461
3	11	29	53	6	6	1	37	2	32	5	73	25	49	24	11	0	56	3	0	16	16	13	129	15	22	54	15	59	209	41
443	1523	1249	1869	496	129	608	491	694	340	811	339	42	142	116	278	18	709	435	542	856	46	45	373	275	358	335	74	595	6649	333
1485	52	759	3653	3292	1296	817	1315	1046	1374	1887	1547	484	389	990	2762	8946	5529	808	631	929	213	1022	106	660	658	5060	720	37	814	12
162	255	929	114	1488	111	400	244	392	749	557	132	313	852	50	677	530	353	342	1065	762	104	377	738	860	2760	1056	79	1271	189	35
356	11077	3162	3271	1008	546	2352	3746	119	1176	8592	5129	3550	3372	2734	14337	7548	1703	5886	939	351	4946	4295	1568	3045	1050	948	571	9096	530	337
1798	5298	14966	157	6947	4089	13007	5528	747	6422	561	851	6112	2847	6591	13720	2076	15896	4856	767	5257	1927	4080	11437	11013	5557	7276	9790	132	29591	4736
3	8	105	0	18	13	1	7	2	18	2	22	5	3	16	65	118	8	19	0	36	29	24	38	6	26	30	5	7	3	36
820	158	3269	1950	449	1623	2498	1011	418	953	324	455	754	355	27	996	1111	1018	4020	460	238	64	3738	310	176	3711	7747	436	2296	758	160
44	167	273	2768	177	73	376	27	395	59	1594	90	885	394	46	385	10	737	13	83	165	594	298	412	1062	618	590	250	844	648	196
1129	1636	4371	1311	4361	6079	3098	527	7743	2946	6700	8005	10342	5350	3081	4028	1751	1396	800	1334	3161	7576	810	6807	5729	5061	17202	1564	891	29308	3053
36	7	69	17	110	6	8	25	20	111	72	90	75	50	14	57	294	131	54	13	1	14	34	29	46	2	44	6	20	26	19
820	490	127	224	203	92	306	80	56	532	228	546	45	470	170	2052	177	132	543	166	322	10	343	109	442	2227	189	166	567	170	42
14	64	170	311	173	608	766	5	179	64	244	371	300	649	68	268	1286	1	110	134	72	9	491	97	51	340	237	148	68	7	173
109	20	178	399	109	189	105	131	38	368	45	20	572	257	474	434	483	591	5	368	48	914	893	490	443	339	571	214	532	47	272
1	148	49	96	129	15	8	14	37	132	24	38	68	100	65	78	120	14	201	10	58	4	93	64	57	58	293	160	26	241	11
1160	163	5734	833	135	426	134	198	261	1606	149	1143	1324	169	444	1614	511	443	196	47	253	237	72	433	335	63	644	106	128	262	756
76	504	241	188	1003	503	286	271	66	757	320	228	137	628	55	195	70	305	114	181	89	39	19	555	20	646	819	263	18	82	263
231	84	2	5	19	77	151	82	91	1	622	171	225	130	14	41	506	122	188	32	66	5	206	0	63	16	544	23	18	53	62
19	1	0	0	14	14	2	12	4	70	8	15	6	10	4	3	18	0	23	19	2	26	2	1	1	1	10	11	4	2	12
25	4	16	29	36	4	25	11	1	7	2	29	3	135	3	165	118	0	1	2	21	32	9	29	8	83	37	1	6	3	14
38	10	77	140	50	115	229	17	83	9	45	335	95	173	45	136	1897	233	157	92	9	270	51	52	165	183	395	31	397	1	134
880	1426	388	1165	611	302	937	350	394	487	371	88	46	552	218	517	2197	332	76	99	518	55	241	34	275	62	1660	386	529	1658	810
50	7	134	448	30	16	479	153	112	229	44	32	291	47	53	362	2011	167	667	93	380	534	261	122	206	628	297	73	385	277	399
24	4	28	1	33	0	3	10	0	7	25	16	1	44	7	24	11	8	3	1	1	6	0	1	0	19	120	1	30	33	7
12	599	429	550	129	67	27	58	102	119	61	28	98	31	237	101	166	168	82	8	78	241	9	274	15	200	3	93	92	265	162
272	2772	3087	2431	3991	324	2856	221	1224	1346	1151	1380	1782	406	479	3562	890	2997	402	2636	909	992	1445	1497	2507	881	1538	34	602	605	2414
145	1059	303	102	654	59	300	133	146	51	54	63	114	107	81	31	1646	261	80	16	78	129	9	36	117	18	483	2	14	459	55
101	72	10	683	94	45	259	107	79	864	344	27	307	290	352	480	920	9	93	23	165	172	110	100	220	766	908	39	155	84	26
9	7085	1151	782	6089	365	1944	1357	1319	1107	6270	239	2050	20	1839	505	15291	170	1282	1813	396	2196	5894	1222	1204	8910	14598	690	5097	5041	4426
4	6	4	4	7	0	1	15	4	38	5	19	20	15	2	20	21	37	20	18	56	7	12	0	14	11	15	8	17	40	5
14	35	160	95	107	53	204	26	218	69	218	25	68	7	104	80	328	7	16	106	116	7	101	19	11	195	191	22	18	133	31
47	144	158	15	168	46	104	67	20	55	62	261	78	181	214	127	92	29	120	14	1	13	110	84	147	13	12	5	36	98	34
1	1	43	4	5	2	70	26	3	78	47	21	22	38	28	123	82	5	87	4	13	0	37	7	17	75	17	43	19	52	35
12	15	9	8	4	0	0	23	13	28	2	4	19	1	0	9	24	1	0	5	2	6	0	1	17	54	17	3	0	7	0
386	881	191	620	1449	41	191	84	844	191	626	1513	695	465	890	1461	824	297	422	1012	7	87	278	439	1783	2202	283	38	257	2895	947
7	722	256	99	386	427	906	268	306	918	436	152	74	114	239	521	953	20	474	108	170	32	234	35	193	446	368	112	222	173	26
0	25	5	7	14	0	2	1	6	4	1	3	7	0	8	1	4	5	53	13	14	5	9	32	0	37	49	8	12	4	0
0	60	0	12	7	0	25	14	4	4	7	7	47	7	26	36	53	52	28	25	2	53	1	4	75	12	94	8	1	4	27
113	217	531	768	708	380	753	29	130	735	215	794	110	655	224	917	1015	1404	406	145	168	377	444	1178	353	908	864	6	423	741	155
194	196	6537	242	821	29	1754	245	399	750	294	1225	48	114	61	2737	514	237	1613	701	719	437	622	89	1370	126	188	736	75	7895	633
12	18	6	5	4	9	16	4	6	11	32	24	9	37	33	20	1	0	3	24	12	19	15	12	94	22	96	2	13	68	63
38	1520	135	283	43	338	35	52	251	808	27	53	343	56	10	316	219	545	47	54	166	271	29	87	91	90	535	326	66	218	90
786	2333	4360	77	5528	522	456	625	152	509	762	98	299	33	233	1172	120	41	964	490	1138	790	748	435	1142	1393	1660	238	75	2256	466
71	1304	204	6062	1129	324	1005	975	336	706	1941	366	38	3035	1959	3437	5656	879	2086	942	96	3410	165	323	1178	2988	883	551	350	4132	1040
50	82	129	715	820	276	876	48	179	136	883	88	221	282	44	2940	616	8	685	156	1	208	109	6	40	1199	590	156	292	577	142
5657	8804	11795	12919	1159	4148	3058	6876	1835	7081	629	2772	2997	1679	14516	6726	9160	378	1604	1318	2178	3118	782	1229	5334	4908	270	59	3230	312	1767
19	7	28	142	33	6	18	20	16	137	9	26	29	14	24	169	150	15	21	62	27	14	33	14	20	16	48	0	69	34	1
14	7	1	11	368	0	106	117	40	19	65	4	408	255	55	129	280	146	19	549	258	39	201	11	10	164	223	14	78	86	84
256	893	135	241	123	590	489	43	13	14	418	384	411	84	350	1115	321	581	435	136	518	228	480	985	203	41	4577	13	1033	2709	411
2	3	12	35	48	10	11	5	9	9	3	8	33	0	29	3	90	1	0	35	1	41	37	12	14	30	48	10	0	12	14
16	296	107	525	566	113	511	38	170	140	894	148	204	942	282	331	475	93	100	62	555	77	5	267	69	72	1295	62	81	481	49
75	216	77	339	183	24	59	3	27	224	151	24	218	417	188	13	59	42	38	113	0	73	83	7	147	60	327	16	15	46	64
138	290	114	455	142	184	3	85	17	94	747	178	111	19	17	329	902	516	381	123	277	95	373	30	192	481	430	180	71	11	148
42	4	565	425	446	186	222	55	40	57	1120	90	558	290	168	279	139	21	87	160	203	91	201	85	736	69	238	146	287	525	310
23	4	16	4	11	10	8	0	10	69	32	0	1	13	16	57	74	0	74	16	16	12	13	2	18	21	4	22	7	7	106
15	44	35	19	34	24	56	56	28	13	101	53	39	68	17	137	39	43	103	7	14	19	22	26	6	11	54	31	4	32	5
32	120	53	4	157	77	337	42	9	481	83	44	202	79	25	61	657	23	213	39	46	76	36	96	20	27	89	22	21	68	9
0	10	5	9	29	4	5	21	0	10	5	1	4	14	2	23	47	0	0	4	3	7	1	0	0	14	3	22	5	4	3
67	13	1238	148	217	87	40	97	381	377	587	48	185	370	21	437	492	143	32	316	13	325	179	159	90	323	85	206	23	1149	108
37	14	629	417	21	39	65	47	21	23	149	7	66	94	54	211	417	50	491	58	8	64	25	0	114	1	148	7	21	56	179
93	159	36	227	205	241	594	591	219	353	140	197	916	243	1139	624	1794	595	679	487	587	244	1182	1762	603	530	591	418	333	341	44
9	74	679	2547	547	1849	530	385	275	1550	6595	1164	1512	621	1454	6282	409	978	1667	1868	3997	1443	168	1138	2283	479	3117	3	235	744	366
8	192	18	240	66	140	143	81	11	170	134	21	164	582	0	219	334	519	210	708	79	538	5	137	41	79	416	91	7	63	15
368	1925	203	1797	871	29	203	206	284	120	411	105	45	11	31	2291	159	961	650	499	123	1141	854	512	1647	239	1070	226	181	174	740
404	298	352	54	186	235	436	85	45	6	343	45	1815	380	123	1753	91	154	185	291	35	569	147	610	1258	176	245	803	164	532	185
86	249	289	5662	51	122	233	23	243	263	429	1925	2792	118	488	530	1226	487	1402	771	170	54	1078	421	1698	628	78	1941	41	864	479
197	271	23	138	190	482	140	72	169	988	95	215	2548	60	1171	1856	1808	119	687	557	179	1129	548	823	1970	1012	241	879	1063	847	1041
158	403	125	29	425	177	509	16	860	87	135	383	575	172	63	1321	352	196	50	2	90	15	152	263	13	86	406	239	65	132	179
28	4	46	399	105	168	211	88	51	196	308	237	10	340	69	265	129	19	37	256	75	21	106	50	244	112	137	70	29	26	75
4	74	13	39	39	1	27	0	15	64	118	33	6	87	14	79	207	44	34	14	1	1	4	11	5	39	104	4	108	40	46
471	1036	0	651	781	28	689	153	81	563	1225	101	457	225	210	61	577	807	113	35	130	129	211	319	52	187	221	323	189	462	4
153	484	645	617	518	37	2495	2162	541	4856	1045	651	243	4079	30	949	7263	1808	118	701	529	504	771	331	287	830	2087	1329	79	1307	990
163	124	15	312	98	20	190	30	43	67	594	38	131	5	94	171	17	33	115	30	41	6	28	12	74	106	30	8	3	157	17
43	4	244	22	7	3	3	2	21	236	13	7	34	32	7	265	123	58	68	252	2	37	83	24	20	73	47	13	36	166	28
524	307	731	1662	456	213	1627	583	212	3	31	156	78	1015	227	1101	3194	57	111	117	418	474	228	1865	267	1595	293	482	403	5414	130
44	646	171	112	165	23	15	7	13	482	35	33	148	131	100	297	275	28	10	137	38	47	144	5	2	232	126	17	12	5	106
8	79	109	203	65	14	16	6	5	14	135	114	18	24	30	48	102	0	57	201	1	0	19	5	14	38	30	15	2	94	3
168	383	118	1414	564	56	195	253	270	341	128	41	42	1	287	43	1263	369	240	198	145	100	42	784	301	86	325	25	527	1469	319
74	511	1730	184	238	318	418	238	46	319	652	190	411	212	265	1105	3048	225	75	515	392	487	145	418	121	312	145	49	255	285	447
11	32	5	8	13	26	6	3	5	52	0	35	1	4	39	62	14	38	55	21	26	24	8	91	27	12	32	31	34	92	30
224	327	210	359	420	699	355	3	393	901	381	5	49	46	612	280	19	128	69	112	191	482	19	148	23	83	333	288	94	864	225
23	30	32	83	8	27	25	17	0	23	3	17	95	51	8	4	223	3	11	11	5	28	55	27	29	78	36	4	7	48	8
413	926	373	1514	529	1669	254	437	108	216	376	997	721	830	332	1903	1232	16	45	1056	27	272	101	154	507	492	3276	22	102	2243	66
55	142	901	36	69	15	185	321	143	71	117	85	57	83	70	327	480	312	125	41	584	327	54	5	165	370	368	48	13	559	84
12	53	105	8	0	0	13	2	66	62	39	10	9	18	57	153	53	94	37	40	11	52	4	3	26	8	121	1	11	163	0
326	1452	438	1777	15	50	139	394	109	10	1037	424	51	895	1136	1678	2549	89	70	508	682	918	132	33	186	17	742	510	1010	21	30
109	242	1484	682	40	2	18	65	475	165	1	105	63	46	150	24	94	291	51	42	51	35	133	67	272	55	277	97	49	1213	94
607	2439	126	44	525	386	942	604	36	86	37	733	1253	970	1849	1980	8172	728	691	281	2008	2446	118	339	178	435	3649	411	283	3279	3198
186	312	392	267	351	854	2075	421	28	603	1014	596	60	469	226	879	220	206	78	122	470	168	66	433	1139	147	113	270	70	1661	85
64	293	317	106	86	92	976	121	118	58	387	190	51	343	12	88	516	416	56	59	9	226	13	103	129	64	338	232	20	659	404
24	1917	1089	2602	644	75	740	1046	932	2355	1468	253	1318	258	623	1487	5137	377	205	205	607	181	552	1273	816	4036	593	626	16	252	928
33	9	85	11	1	0	3	70	7	38	48	1	1	2	9	18	19	21	14	6	56	5	23	2	12	7	11	11	15	1	8
228	182	213	266	181	38	648	59	56	9	273	476	144	182	23	1728	84	79	611	337	168	324	472	423	121	772	4	27	214	619	43
1070	3048	2610	4081	2224	480	6	965	447	1407	3666	667	189	879	1664	3648	1942	195	492	318	1442	806	550	672	1578	628	1584	289	1063	1754	199
4	67	3	4	52	1	21	15	3	24	4	3	4	4	2	0	43	47	1	32	3	6	26	4	7	12	0	2	25	58	9
481	159	669	2906	2178	1766	96	373	325	720	1509	504	1646	655	352	940	535	671	273	160	134	522	208	371	1680	1942	2945	1050	7	369	390
82	126	77	168	63	63	103	41	5	34	29	71	254	17	38	65	121	17	22	1	3	3	48	110	53	260	9	15	86	75	42
102	124	666	492	633	136	42	20	35	550	19	12	6	791	72	598	1899	56	348	137	146	607	850	312	321	1704	151	325	142	458	349
17	68	200	14	56	48	3	47	3	95	213	59	17	50	13	382	90	118	72	35	49	20	5	214	83	51	82	14	47	38	32
26	222	108	316	339	86	406	117	13	333	376	179	37	601	249	186	25	254	24	103	265	10	50	34	17	8	394	195	30	774	250
10	92	0	14	231	2	60	26	37	12	49	17	67	108	19	0	19	2	21	10	24	12	2	73	82	90	21	0	1	2	28
119	460	1095	31	613	31	621	44	332	425	59	212	539	14	6	1181	1007	455	236	11	188	500	31	59	435	2	576	79	69	57	635
20	18	64	177	313	41	391	65	77	43	9	251	139	482	369	52	287	254	23	22	2	160	73	234	143	103	385	216	23	449	6
322	3950	918	983	284	485	1119	7	123	6	390	131	885	282	38	1998	170	661	317	317	259	219	501	745	471	758	711	533	934	1359	651
9	243	15	33	202	72	535	162	165	80	229	504	484	31	24	74	143	161	57	236	660	267	40	159	32	88	99	111	10	111	46
70	39	257	238	723	41	1528	40	659	146	363	547	125	3	17	1478	245	12	127	435	113	388	76	110	1096	89	538	268	2	708	143
205	62	321	150	63	200	177	78	100	325	88	36	155	108	113	498	69	90	18	51	120	65	70	155	140	184	101	143	10	69	113
34	108	76	169	158	120	732	81	7	558	672	54	142	65	44	38	142	379	20	207	3	26	461	21	202	558	244	13	73	637	28
481	194	126	584	326	142	223	12	58	633	189	342	260	248	74	22	1874	12	435	2	57	45	481	479	1239	2228	352	258	201	32	634
2658	3018	2941	903	818	124	1510	1393	849	902	1158	234	826	1979	987	2518	5011	634	2538	1189	249	664	999	1994	1072	3110	3872	147	576	828	142
179	7	137	452	306	68	204	91	337	563	291	463	178	152	28	363	589	176	235	155	216	134	366	147	47	438	73	35	144	503	13
147	747	255	263	59	46	51	149	146	56	232	94	15	131	2	61	135	1	219	117	82	32	283	6	231	44	98	270	26	655	132
463	1887	474	681	922	23	576	220	1275	303	1037	156	142	319	709	574	185	158	139	347	14	113	160	950	252	1151	515	194	167	17	183
28	14	19	8	14	30	44	43	5	0	16	237	175	64	0	147	353	6	51	3	58	105	83	25	147	572	109	8	32	126	67
14	50	89	13	9	41	220	64	14	139	70	189	299	30	4	19	151	43	48	60	23	43	0	15	41	16	43	26	14	117	76
6	862	425	481	489	138	745	679	284	173	813	517	146	244	210	558	1342	253	15	36	192	36	223	779	132	357	294	40	1281	210	584
380	100	264	708	497	40	158	974	211	35	411	103	192	383	35	204	3342	360	796	177	580	467	217	127	100	129	1211	60	207	305	464
18	5	55	48	15	4	37	10	48	6	5	9	15	36	9	3	39	3	25	18	1	3	36	1	20	17	36	2	6	39	2
5	63	2	17	9	29	8	28	2	71	7	58	172	29	0	35	0	41	14	167	16	83	214	5	7	122	36	65	11	71	11
65	130	67	42	6	85	150	109	7	4	8	22	3	54	74	119	281	28	5	9	29	10	93	4	51	7	85	65	13	42	257
161	15	1262	265	372	1009	1581	64	72	189	1859	57	555	29	299	86	901	385	647	27	867	65	72	659	379	442	837	13	629	274	8
1021	3852	913	372	4785	71	374	854	245	44	10209	1679	738	814	8892	2115	24588	488	1600	6115	180	2782	351	2826	7491	16504	1913	1834	2485	3441	119
480	785	603	397	2099	212	1419	286	192	1278	328	1229	2812	175	1771	754	11243	1107	916	1210	880	370	1391	1595	834	781	2490	135	57	2231	1003
7	246	193	197	501	113	229	73	454	47	68	187	197	207	365	835	802	550	320	83	10	95	112	487	390	179	302	144	229	144	60
59	287	109	228	46	27	28	75	76	143	22	74	71	49	30	59	203	142	89	6	87	73	25	16	51	284	149	20	104	27	55
7	44	67	117	54	4	70	0	34	9	105	74	31	94	74	59	779	3	68	51	33	238	181	71	13	52	29	31	112	26	100
20	111	343	2	8	36	289	164	48	590	209	78	110	119	95	374	293	2	70	299	2	69	19	44	362	24	1340	23	184	58	186
67	111	607	673	129	425	504	348	32	907	244	786	826	389	473	314	930	721	334	24	109	68	140	1557	1767	961	444	105	281	513	272
270	739	28	241	397	21	374	500	122	258	1625	1913	566	213	226	92	1509	226	114	400	38	1859	954	123	608	81	1374	1416	91	101	660
21	19	156	82	184	33	40	41	137	215	2	17	7	51	2	52	1265	25	69	168	117	89	40	6	175	126	172	22	29	17	29
28	2	6	56	6	1	19	1	6	14	79	9	34	0	9	50	38	11	8	38	5	3	15	19	11	27	18	0	16	20	3
21	60	107	0	58	15	71	2	60	20	36	78	3	26	21	59	170	10	43	17	23	11	66	3	30	54	100	25	17	39	0
4	32	23	6	8	16	22	5	12	45	61	2	2	69	4	1	76	3	28	5	22	10	4	15	25	27	52	41	0	2	2
36	44	5	8	78	9	76	38	20	46	0	23	11	35	73	10	79	64	31	4	6	120	17	45	21	105	90	22	110	29	9
5	22	6	6	0	1	5	19	0	96	6	0	6	12	2	1	44	7	1	8	0	16	7	9	1	0	14	2	7	37	36
61	3077	534	167	238	100	1057	1795	50	1052	1066	1060	1703	186	749	1355	2494	8982	2116	11098	2655	6062	21775	2340	1317	1956	2888	3084	1049	1782	4996
4	9	6	12	4	14	43	3	4	22	0	4	3	4	0	58	10	1	7	29	85	11	3	22	3	26	1	13	8	7	11
29	182	90	151	75	20	144	177	149	253	257	112	25	212	46	8	655	35	26	82	786	53	251	208	130	19	245	97	68	166	12
982	3306	834	163	114	322	1808	250	135	2898	736	582	245	19	1204	956	373	506	586	416	95	1484	43	184	467	2241	421	455	490	4339	21
96	232	191	35	56	188	44	169	151	12	136	144	469	12	66	47	681	39	320	179	32	0	68	62	194	61	569	110	33	53	46
221	274	518	487	749	180	1217	283	37	411	219	1014	243	56	283	1654	1492	556	762	174	150	1598	35	46	794	1129	333	203	185	741	41
3432	8090	2090	11743	1955	5374	926	854	2138	263	6946	9931	5926	234	2051	7763	5725	2067	2923	7646	227	5692	867	4471	315	8462	919	668	685	2157	1439
12	96	847	63	515	426	59	1446	178	1425	845	256	2326	2315	647	1091	3882	580	537	1896	32	482	239	243	31	11091	1312	443	1091	153	509
463	19	642	433	54	228	275	164	116	171	165	172	616	36	95	137	1090	71	292	1071	217	230	651	110	610	427	118	421	28	713	140
504	525	1817	583	1892	181	1518	2936	1861	816	2879	2674	4281	170	21	1119	14627	1812	3505	3013	1397	589	3397	369	2320	174	1293	318	423	2492	265
0	14	2	1	4	8	36	6	0	0	33	5	49	47	1	28	29	6	13	1	5	2	13	6	29	5	64	7	6	18	16
741	6006	5053	832	4547	2651	1916	279	566	1684	603	997	751	812	1994	3307	10635	160	66	1973	3357	1472	148	1315	11758	3538	61	246	3344	5725	98
705	221	1804	33	1646	1670	1319	63	619	16	105	649	204	92	347	2103	2032	395	730	661	928	2317	1254	127	58	559	2188	815	736	1819	173
49	467	580	2551	893	785	4387	401	777	286	431	1598	483	653	324	131	2127	136	58	153	556	2410	443	720	2088	211	4261	1801	1538	496	368
272	1129	766	1356	2162	441	258	261	914	893	2890	1294	2365	2152	1141	88	1149	1185	1915	11	399	2317	4832	677	981	710	172	4182	1133	81	1151
33	15	54	90	40	18	117	54	8	1	35	35	168	0	115	67	5	3	41	121	18	5	76	42	53	3	305	9	10	26	107
21	139	120	257	57	59	77	68	111	258	34	91	102	54	80	47	317	102	201	66	83	52	49	104	75	391	117	35	171	46	99
665	675	779	107	1731	256	42	15	119	196	1017	3532	65	987	81	14	387	618	168	1288	402	135	439	99	3921	1106	40	714	331	1810	1281
121	189	115	442	60	16	15	62	46	26	542	17	12	26	97	236	13	273	1	302	84	90	230	32	29	2	59	15	25	55	16
56	30	59	46	30	19	19	1	11	26	144	35	100	62	0	9	47	115	11	43	18	62	18	57	56	121	57	8	14	29	0
64	8	29	31	54	14	45	29	16	4	29	2	1	72	6	82	25	114	51	7	5	13	3	5	12	30	1	24	13	21	90
1	37	14	48	12	0	1	7	4	25	12	0	5	3	5	0	7	0	6	9	0	26	6	7	33	42	21	38	3	40	10
286	3286	3312	484	2115	348	1603	1541	406	825	4199	214	1997	878	896	223	171	1827	3362	130	295	1420	1620	1684	5826	568	980	1242	13	300	182
61	7646	1181	4359	153	159	6086	474	99	2161	569	1832	2150	1544	3257	125	201	3720	556	3868	1136	1261	6222	2341	420	1928	3832	264	1145	5867	174
470	624	394	1180	3574	973	1006	773	1664	674	1994	4022	667	89	1009	505	12144	3749	484	808	477	477	383	144	6599	3367	2026	1600	448	103	643
27	130	54	30	57	41	51	12	41	13	51	86	59	49	148	44	217	171	260	45	111	36	163	44	223	29	103	50	50	669	39
3	35	12	3	21	14	6	0	5	1	14	3	19	1	1	53	6	4	0	4	3	5	3	25	15	6	1	5	0	11	13
153	47	25	581	173	33	461	124	6	232	195	468	287	111	500	125	921	40	145	39	169	147	98	473	1131	351	996	17	181	326	306
